English,Arabic,BG (Bulgarian),CA (Catalan ),"Chinese, Traditional","Chinese, Simplified ",CS (Czech),DA (Danish),DE (German ),EL (Greek),EN (English),ES (Spanish ),ET (Estonian),FI (Finnish),FR( French),GA (Irish),HR (Croatian),HU (Hungarian),IT (Italian),Japanese,LT (lithuanian),LV (Latvian),Māori,MT (Maltese),NL (Dutch),NO (Norwegian),PL (Polish),PT (Portuguese),RO (Romanian),SE (Serbian),SK (Slovak),SL (Slovenian),SV (Swedish),Turkish
library access policy,,,política d'accés a la biblioteca,,,,,,,library access policy,,,,politique d'accès à la bibliothèque,,,,,,,,kaupapahere whakauru pukapuka,,,,,,,,,,,kütüphane erişim ilkeleri
libary card,,,carnet de la biblioteca,借閱證/借書證/閱覽證,借阅证/借书证/阅览证,,,,,library card,,,,,,,,,,,,,,lenerspas,,,,,,,,,kütüphane kartı
library membership,,,membres de la biblioteca,,,,,,,library membership,,,,abonnement bibliothèque,,,,,,,,,,bibliotheek lidmaatschap,,,,,,,,,kütüphane üyeliği
library/lending rules/regulations,,,reglament dels serveis de biblioteca,,,,,,,library/lending rules/regulations,,,,,,,,,,,,,,leenreglement,,,,,,,,,kütüphane/ ödünç verme kuralları
open access,,свободен достъп,accés obert,開放取用/開放近用/開放獲取,开放取用/开放近用/开放获取,otevřeného přístupu,åben adgang,offener Zugang,ανοιχτή πρόσβαση,open access,acceso abierto,avatud juurdepääs,avoin pääsy,accès ouvert,rochtain oscailte,otvoreni pristup,nyílt hozzáférés,accesso aperto,,atviroji prieiga,atvērtā piekļuve,,,open toegang,,,acesso aberto,,,,,fri tillgång,açık erişim
open access policy,,политика на отворен достъп,política d'accés obert,,,,,,,,,,,politique d'accès ouvert,,,,,,,,,,,,,,,,,,,açık erişim politikası/ilkeleri
open access publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,açık erişim yayıncılığı
open data,,,dades obertas,開放數據/開放資料,开放数据/开放资料,,,,,,,,,,,,,,,,,,,,,,,,,,,,açık veri
open research data,,,dades d'investigació obertes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,açık araştırma verisi
open science,,,ciència oberta,開放科學,开放科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,açık bilim
open science policy,,,política científica oberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,açık bilim politikaları
policy,,,,政策/方針,政策/方針,,,Politik,,,política,,,politique,,,,,,,,,,,,,,,,,,,politika
publication,,,publicacion,,,,,,,,,,,,,,,pubblicazione,,,,,,,,,,,,,,,yayın
research data,,,dades de recerca,研究數據/研究資料,研究数据/研究资料,,,,,,,,,,,,,,,,,,,,,,,,,,,,araştırma verisi
research output,,,producció científica i acadèmica,,,,,,,,,,,,,,,attività di ricerca,,,,,,,,,,,,,,,araştırma çıktısı
